Year,Capacități ale sectorului de sănătate,Capacitățile sectorului medical (2010-2020),Value
2022,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,67.0
2022,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,67.0
2022,(12) Evenimente zoonotice,,60.0
2022,(13) Siguranța alimentelor,,80.0
2022,(14) Evenimente  chimice,,40.0
2022,(15) Urgențe radionucleare,,40.0
2022,,"(01) legislația, politicile  și finanțarea națională",
2022,,(02) coordonarea și legătura cu punctele focale  naționale,
2022,,(03) supravegherea,
2022,,(04) răspunsul,
2022,,(05) pregătirea,
2022,,(06) comunicarea  riscurilor,
2022,,(07) resursele umane,
2022,,(08) laboratorul,
2022,,(09) punctele de intrare,
2022,,(10)  evenimente zoonotice,
2022,,(11) siguranța alimentelor,
2022,,(12) evenimente  chimice,
2022,,(13) urgențe radionucleare,
2023,,,
2023,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,50.0
2023,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,73.0
2023,(3) Finanțare,,70.0
2023,(4) Laboratorul,,56.0
2023,5) Supravegherea,,80.0
2023,(6) Resursele umane,,30.0
2023,(7) Managementul urgențelor de sănătate,,80.0
2023,(8) Asigurarea serviciilor de asistență medicală,,80.0
2023,(9) Profilaxia și controlul infecțiilor,,60.0
2023,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,60.0
2023,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,73.0
2023,(12) Evenimente zoonotice,,60.0
2023,(13) Siguranța alimentelor,,60.0
2023,(14) Evenimente  chimice,,40.0
2023,(15) Urgențe radionucleare,,60.0
2023,,"(01) legislația, politicile  și finanțarea națională",
2023,,(02) coordonarea și legătura cu punctele focale  naționale,
2023,,(03) supravegherea,
2023,,(04) răspunsul,
2023,,(05) pregătirea,
2023,,(06) comunicarea  riscurilor,
2023,,(07) resursele umane,
2023,,(08) laboratorul,
2023,,(09) punctele de intrare,
2023,,(10)  evenimente zoonotice,
2023,,(11) siguranța alimentelor,
2023,,(12) evenimente  chimice,
2023,,(13) urgențe radionucleare,
2024,,,
2024,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,50.0
2024,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,67.0
2024,(3) Finanțare,,70.0
2024,(4) Laboratorul,,68.0
2024,5) Supravegherea,,80.0
2024,(6) Resursele umane,,40.0
2024,(7) Managementul urgențelor de sănătate,,73.0
2024,(8) Asigurarea serviciilor de asistență medicală,,73.0
2024,(9) Profilaxia și controlul infecțiilor,,60.0
2024,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,60.0
2024,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,73.0
2024,(12) Evenimente zoonotice,,60.0
2024,(13) Siguranța alimentelor,,60.0
2024,(14) Evenimente  chimice,,40.0
2024,(15) Urgențe radionucleare,,60.0
2024,,"(01) legislația, politicile  și finanțarea națională",
2024,,(02) coordonarea și legătura cu punctele focale  naționale,
2024,,(03) supravegherea,
2024,,(04) răspunsul,
2024,,(05) pregătirea,
2024,,(06) comunicarea  riscurilor,
2024,,(07) resursele umane,
2024,,(08) laboratorul,
2024,,(09) punctele de intrare,
2024,,(10)  evenimente zoonotice,
2024,,(11) siguranța alimentelor,
2024,,(12) evenimente  chimice,
2024,,(13) urgențe radionucleare,
