Year,Clase Situații excepționale,Grupa de vârstă,Sex,Raioane,Value
2022,,,,Orhei,0.0
2022,,,,Rezina,0.0
2022,,,,Strășeni,0.0
2022,,,,Șoldănești,0.0
2022,,,,Telenești,0.0
2022,,,,Ungheni,0.0
2022,,,,Sud,0.0
2022,,,,Basarabeasca,0.0
2022,,,,Cahul,0.0
2022,,,,Cantemir,0.0
2022,,,,Căușeni,0.0
2022,,,,Cimișlia,0.0
2022,,,,Leova,0.0
2022,,,,Ștefan Vodă,0.0
2022,,,,Taraclia,0.0
2022,,,,UTA Găgăuzia,0.0
2023,,,,,0.0
2023,Tehnogen,,,,0.0
2023,Natural (pe genuri),,,,0.0
2023,Biologico-social,,,,0.0
2023,Incendii,,,,0.0
2023,,0-17 ani,,,0.0
2023,,18 ani și peste,,,0.0
2023,,,Bărbați,,0.0
2023,,,Femei,,0.0
2023,,,,Mun. Chișinău,0.0
2023,,,,Nord,0.0
2023,,,,mun. Bălți,0.0
2023,,,,Briceni,0.0
2023,,,,Dondușeni,0.0
2023,,,,Drochia,0.0
2023,,,,Edineț,0.0
2023,,,,Fălești,0.0
2023,,,,Florești,0.0
2023,,,,Glodeni,0.0
2023,,,,Ocnița,0.0
2023,,,,Râșcani,0.0
2023,,,,Sângerei,0.0
2023,,,,Soroca,0.0
2023,,,,Centru,0.0
2023,,,,Anenii Noi,0.0
2023,,,,Călărași,0.0
2023,,,,Criuleni,0.0
2023,,,,Dubăsari,0.0
2023,,,,Hâncești,0.0
2023,,,,Ialoveni,0.0
2023,,,,Nisporeni,0.0
2023,,,,Orhei,0.0
2023,,,,Rezina,0.0
2023,,,,Strășeni,0.0
2023,,,,Șoldănești,0.0
2023,,,,Telenești,0.0
2023,,,,Ungheni,0.0
2023,,,,Sud,0.0
2023,,,,Basarabeasca,0.0
2023,,,,Cahul,0.0
2023,,,,Cantemir,0.0
2023,,,,Căușeni,0.0
2023,,,,Cimișlia,0.0
2023,,,,Leova,0.0
2023,,,,Ștefan Vodă,0.0
2023,,,,Taraclia,0.0
2023,,,,UTA Găgăuzia,0.0
2024,,,,,0.0
2024,Tehnogen,,,,0.0
2024,Natural (pe genuri),,,,0.0
2024,Biologico-social,,,,0.0
2024,Incendii,,,,0.0
2024,,0-17 ani,,,0.0
2024,,18 ani și peste,,,0.0
2024,,,Bărbați,,0.0
2024,,,Femei,,0.0
2024,,,,Mun. Chișinău,0.0
2024,,,,Nord,0.0
2024,,,,mun. Bălți,0.0
2024,,,,Briceni,0.0
2024,,,,Dondușeni,0.0
2024,,,,Drochia,0.0
2024,,,,Edineț,0.0
2024,,,,Fălești,0.0
2024,,,,Florești,0.0
2024,,,,Glodeni,0.0
2024,,,,Ocnița,0.0
2024,,,,Râșcani,0.0
2024,,,,Sângerei,0.0
2024,,,,Soroca,0.0
2024,,,,Centru,0.0
2024,,,,Anenii Noi,0.0
2024,,,,Călărași,0.0
2024,,,,Criuleni,0.0
2024,,,,Dubăsari,0.0
2024,,,,Hâncești,0.0
2024,,,,Ialoveni,0.0
2024,,,,Nisporeni,0.0
2024,,,,Orhei,0.0
2024,,,,Rezina,0.0
2024,,,,Strășeni,0.0
2024,,,,Șoldănești,0.0
2024,,,,Telenești,0.0
2024,,,,Ungheni,0.0
2024,,,,Sud,0.0
2024,,,,Basarabeasca,0.0
2024,,,,Cahul,0.0
2024,,,,Cantemir,0.0
2024,,,,Căușeni,0.0
2024,,,,Cimișlia,0.0
2024,,,,Leova,0.0
2024,,,,Ștefan Vodă,0.0
2024,,,,Taraclia,0.0
2024,,,,UTA Găgăuzia,0.0
2025,,,,,0.0
2025,Tehnogen,,,,0.0
2025,Natural (pe genuri),,,,0.0
2025,Biologico-social,,,,0.0
2025,Incendii,,,,0.0
2025,,0-17 ani,,,0.0
2025,,18 ani și peste,,,0.0
2025,,,Bărbați,,0.0
2025,,,Femei,,0.0
2025,,,,Mun. Chișinău,0.0
2025,,,,Nord,0.0
2025,,,,mun. Bălți,0.0
2025,,,,Briceni,0.0
2025,,,,Dondușeni,0.0
2025,,,,Drochia,0.0
2025,,,,Edineț,0.0
2025,,,,Fălești,0.0
2025,,,,Florești,0.0
2025,,,,Glodeni,0.0
2025,,,,Ocnița,0.0
2025,,,,Râșcani,0.0
2025,,,,Sângerei,0.0
2025,,,,Soroca,0.0
2025,,,,Centru,0.0
2025,,,,Anenii Noi,0.0
2025,,,,Călărași,0.0
2025,,,,Criuleni,0.0
2025,,,,Dubăsari,0.0
2025,,,,Hâncești,0.0
2025,,,,Ialoveni,0.0
2025,,,,Nisporeni,0.0
2025,,,,Orhei,0.0
2025,,,,Rezina,0.0
2025,,,,Strășeni,0.0
2025,,,,Șoldănești,0.0
2025,,,,Telenești,0.0
2025,,,,Ungheni,0.0
2025,,,,Sud,0.0
2025,,,,Basarabeasca,0.0
2025,,,,Cahul,0.0
2025,,,,Cantemir,0.0
2025,,,,Căușeni,0.0
2025,,,,Cimișlia,0.0
2025,,,,Leova,0.0
2025,,,,Ștefan Vodă,0.0
2025,,,,Taraclia,0.0
2025,,,,UTA Găgăuzia,0.0
